,name,type,price,expert_score,user_rating,distillery_loc,description,age,abv,style,cask,review,smoky,peaty,spicy,herbal,oily,full-bodied,rich,sweet,briny,salty,vanilla,tart,fruity,floral
215,"
I.W. Harper 15 Year Bourbon
",Bourbon,"['cost-3', 'spirit-cost']","
94

",4.07,"
I.W. Harper // Kentucky, USA
","Originally launched in 1879, I.W. Harper, the venerable Kentucky Bourbon returns to distribution within the United States this year (2015) after a long absence. Created by the Bernheim brothers, Isaac and Bernard, the brand was named after Isaac's first two initials (I.W.), but the surname Harper was chosen for broader market appeal. With a high corn mashbill (86%) this 15 year old offering was distilled at the New Bernheim Distillery in Louisville (now part of Heaven Hill) and aged most recently at the Stitzel-Weller Distillery. ",15 Year,43.0,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""The nose on this bourbon is soft and mildly sweet, with vanilla, oak, toasted almond, freshly baked pound cake and a hint of orange blossom. On the palate, it is obvious that this is a high-corn bourbon, as an initial wave of sweetness and grain notes appears immediately, giving way to cinnamon, oak and hints of dried plum and chocolate. The mouthfeel is perfectly balanced at 86 proof, being neither too unctuous nor watery. A long satisfying finish with fresh mint, orange peel, milk chocolate and toasted almonds ends things nicely.
""",0,0,70,70,40,60,70,80,0,0,80,40,60,80
216,"
The Balvenie Peated Cask 17 Year
",Peated Single Malt,"['cost-4', 'spirit-cost']","
94

",4.45,"
The Balvenie // Speyside, Scotland
","In 2001, The Balvenie Distillery prepared a rare batch of peated whiskey. After a time, Malt Master David Stewart, decided to transfer them to newly prepared traditional casks. The casks that had originally held the peated liquid had taken on much of its character, so after initial maturation in American oak, Stewart decided to experiment by giving non-peated 17 Year Old Balvenie a quick finish in the casks that once held the peated liquid to take on some its flavor. Therefore, this is not a peated Scotch per se, but one that has a peated cask finish.",17 Years,43.0,100% malted barley from a single distillery. Dried with peat.,"American oak, peated American oak","""The taste is elegant and subtle. The peat cask adds a whiff of seaside bonfire smoke to what is already a rich, chocolatey, malty whisky. The usual iodine or rubber tire flavors that can affect a peated whisky are not present. Instead it tastes very much as though one is sipping a mature Balvenie in a fine cigar lounge, but without that pesky hair stank to follow. This is an approachable Scotch that might change the minds of those who think they don't like peated whisky.""",35,35,20,30,15,80,80,78,10,15,40,0,10,10
217,"
Balblair 1999 2nd Release
",Single Malt,"['cost-4', 'spirit-cost']","
94

",4.26,"
Balblair // Highlands, Scotland
",This second release of vintage 1999 from Balblair was bottled in the summer of 2014. The distillery located in the Northern Highlands and founded in 1790 by John Ross is one of precious few that releases its whiskies in vintages. It is non-chill filtered with no added color.,NAS,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon/ex-sherry,"""This whisky is a lot of fun to drink - definitely parties like its vintage year suggests! Ripe apple and orange mingles with spice and caramel. Then malted chocolate shows up fashionably late and everyone mixes it up into the wee hours. You'll definitely want more sips to keep the festivities going!""",0,0,35,0,10,80,80,80,0,5,30,0,40,10
218,"
anCnoc Vintage 1975
",Single Malt,"['cost-5', 'spirit-cost']","
94

",4.3,"
anCnoc // Highlands, Scotland
","anCnoc Scotch is produced at the Knockdhu distillery at the Knock estate in Aberdeen. This whisky was selected from 3 casks in the Huntly warehouse, which were distilled in 1975 and aged in a combination of Spanish and American oak. It is non chill-filtered and without additional coloring. Only 1,590 bottles in the release.",NAS,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon/ex-sherry,"""Rich, creamy toffee flavors settle elegantly on the palate. Warm spices, candied orange peel and pipe tobacco warm it up like a cozy blanket. Older whiskies can feel a bit hot going down, but this one goes down smooth, delivering lots of flavor without a lot of fuss.""",15,15,30,0,20,80,80,70,0,10,40,5,40,0
219,"
Woodford Reserve Straight Rye
",Rye,"['cost-2', 'spirit-cost']","
94

",3.81,"
Woodford Reserve // Kentucky, USA
","As of early 2015, Woodford Reserve Rye is the latest member of the Woodford family of American whiskeys to join the party! Master Distiller Chris Morris has been working on this project since 2006, as an answer to fans who for many years have been requesting a rye from this historic distillery. It's made from a 53% rye mash bill, produced and aged at their distillery in Versailles, Kentucky.",NAS,45.2,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""The decision to keep the percentage of rye somewhat low in the mash bill really paid off. Somehow the mix of other grains used managed to push the intrinsic rye flavors to the front, but kept them subtle and very elegant. Instead of hitting you over the head with heavy spice and cereal notes as many ryes do these days, these elements relax on the palate, chilling out with some malty milk-chocolate and tangy apricot. This one was well worth the wait.""",5,5,40,0,10,70,70,70,0,10,15,15,25,0
220,"
Four Roses Limited Edition Small Batch Bourbon (2014) 
",Bourbon,"['cost-3', 'spirit-cost']","
94

",4.03,"
Four Roses // Kentucky, USA
","This limited edition bourbon was selected by Four Roses Master Distiller Jim Rutledge. It's a vatting of four different bourbon recipes: 13 year old OBSV, 12 year old OESV, 11 year old OBSF, and 9 year old OBSK, and is uncut and non-chill filtered.",9 Year,55.9,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""The notes for this bourbon say the barrels were chosen specifically for their clove and orchard fruit characteristics, and these are indeed the first things to register at initial sip. It's a very creamy bourbon, with notes of caramel and toffee, and a classic Four Roses oak-driven leatheriness. Considering its somewhat high proof, goes down very smooth.""",0,0,30,0,10,70,70,80,0,0,25,0,30,5
221,"
Yamazaki Sherry Cask 2013
",Single Malt,"['cost-4', 'spirit-cost']","
94

",4.53,"
Yamazaki // Japan
","This single malt from Yamazaki was named World Whisky of the Year by Jim Murray in 2015 which ignited a demand for all Japanese whiskies as a whole. Aged in Spanish oak, oloroso sherry casks, this is a no-age statement release. Bottled at 48% ABV.",NAS,48.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",Oloroso Sherry Casks,"""The stellar influence of sherry gives way to raisins, plums, figs, dates, and Maraschino cherries all dipped in dark, bitter chocolate. The aforementioned notes only intensify on the palate, now joined by cinnamon and pepper. The finish is long, as a battle between sweet, bitter, and sour notes ensues. """,10,10,55,25,40,70,80,75,20,30,25,30,85,40
222,"
Old Pulteney 21 Year
",Single Malt,"['cost-4', 'spirit-cost']","
94

",4.42,"
Old Pulteney // Highlands, Scotland
","Located in the northern coastal town of Wick in the Scottish Highlands, the Old Pulteney distillery is intrinsic in local maritime culture. The whisky rests in ex-bourbon and oloroso sherry casks in the distillery warehouses, where salty sea breezes flow. There is a higher proportion of first-fill ex-sherry contact with this release than the younger releases. It is non-chill filtered. Note: This has been discontinued due to insufficient stock as of June 2017.",21 Year,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",ex-bourbon/ex-sherry,"""No shrinking violet this dram - but deep, brooding, and dramatic. A rich, smoky mist swirls around flavors of dark chocolate, creamy vanilla, caramel, burnt orange peel and black bread with hints of sea salt. The subtle smoke binds the richness, sweetness and fruitiness together nicely, ending a long, elegant finish. Definitely one to share with friends on a cold, stormy night!""",30,30,10,5,20,85,90,75,40,25,35,0,40,0
223,"
Glenfarclas 40 Year
",Single Malt,"['cost-5', 'spirit-cost']","
94

",4.46,"
Glenfarclas // Highlands, Scotland
",Glenfarclas--glen of the green grassland-- is located at the foot of the Ben Rinnes in northern Scotland. Family-owned distillery Glenfarclas bottles its 40 year-old single malt in modest packaging compared to others with similar ages making it a value for its ilk. Matured exclusively in European oak ex-oloroso sherry casks. ,40 Year,46.0,"Distilled in pot stills from 100% malted barley, produced at one distillery, aged in barrels; if Scotch or Irish, must be aged for at least three years.",European oak ex-oloroso sherry cask,"""Dark honey, roasted cereal, dark molasses, baked pears, cinnamon, maybe some walnut; these are some of the aromas found in this whisky.  Going back for more you'll find orange peel, black tea, tobacco; this is something you'll want to drink by the fireplace.  The finish is slightly bitter, but is lengthy.
""",30,30,40,30,40,90,90,80,0,20,50,50,80,40
224,"
Lock Stock & Barrel Straight Rye Whiskey 13 Year
",Rye,"['cost-4', 'spirit-cost']","
94

",4.23,"
Cooper Spirits // Canada
","This rye whiskey is sourced from Canada using grains from the Pacific Northwest. The mash bill is 100% rye and the barrels were hand selected by Rob Cooper from the folks at Alberta Distillery Limited in Calgary. 13 Year-old rye whiskey doesn't come around every day, so expect to pay-to-play. The impressive packaging must be commented on:  the black glass bottle is very nicely designed, wrapped in tissue paper, sealed with a wax stamp, and enclosed in a dark wooden box. Rye lovers should add this to your wish list!",13,50.65,"Mash bill at least 51% rye; aged in new, charred oak barrels.
","new, charred American oak","""Pecan shells, wood spices, vanilla, and leather are found on the nose along with a  touch of dill. A caramel aroma is present, but don't be fooled; this is not a sweet whiskey. The palate is full, but not creamy and sticky. There is a peppery aspect to the whiskey and the 100% rye content provides a robust and dry finish to the whiskey.""",30,30,70,40,30,60,50,40,0,0,50,30,30,10
225,"
Michter's 20 Year Single Barrel Bourbon
",Bourbon,"['cost-5', 'spirit-cost']","
94

",4.51,"
Michter's // Kentucky, USA
","Michter's says the whiskeys that are aged between 17 and 20 years are at their ""fork in the road point,"" when their quality has reached an ""extraordinary"" level (which kind of begs the question why they also have 25 year releases, but we'll go with it). It is here that Master Distiller Willie Pratt selects the barrels that go into the 20 Year Old Bourbon from the warehouse as they reach that fine stage of maturity.",20 year,57.1,"Produced anywhere in USA; Mash bill of at least 51% corn; aged in new, charred oak containers.
","new, charred American oak","""Deep, dark caramel, molasses, vanilla and baking spices mixed with bittersweet chocolate and cashews. There's a subtle twang of cedar and patchouli to cut the sweetness, and a good, strong, classic leathery finish with only a slight burn.""",0,0,20,15,10,80,80,75,0,0,20,0,15,15
